,precision,recall,f1-score,support,model_name,dataset,use_pos,use_context,use_trans,use_weights,batch_size,epoch,lr_rate,resample_perc,n_classes,fold,timestamp_now
question,0.8,1.0,0.8888888888888888,20.0,main,test,True,False,True,True,4,17,5e-06,0.1,7,,2024-07-26 00:21:55
suggest,1.0,0.3333333333333333,0.5,3.0,main,test,True,False,True,True,4,17,5e-06,0.1,7,,2024-07-26 00:21:55
accuracy,0.9394449116904964,0.9394449116904964,0.9394449116904964,0.9394449116904964,main,test,True,False,True,True,4,17,5e-06,0.1,7,,2024-07-26 00:21:55
macro avg,0.4555698190923421,0.4448230289513897,0.4006248383958451,1189.0,main,test,True,False,True,True,4,17,5e-06,0.1,7,,2024-07-26 00:21:55
weighted avg,0.9789385286825174,0.9394449116904964,0.9572326069341024,1189.0,main,test,True,False,True,True,4,17,5e-06,0.1,7,,2024-07-26 00:21:55
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,18,5e-06,0.1,7,,2024-07-26 00:27:13
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,18,5e-06,0.1,7,,2024-07-26 00:27:13
inform,0.9918256130790192,0.9470945359930616,0.968944099378882,1153.0,main,test,True,False,True,True,4,18,5e-06,0.1,7,,2024-07-26 00:27:13
instruct,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,main,test,True,False,True,True,4,18,5e-06,0.1,7,,2024-07-26 00:27:13
other,0.06,0.5,0.1071428571428571,6.0,main,test,True,False,True,True,4,18,5e-06,0.1,7,,2024-07-26 00:27:13
question,0.8,1.0,0.8888888888888888,20.0,main,test,True,False,True,True,4,18,5e-06,0.1,7,,2024-07-26 00:27:13
suggest,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,main,test,True,False,True,True,4,18,5e-06,0.1,7,,2024-07-26 00:27:13
accuracy,0.9394449116904964,0.9394449116904964,0.9394449116904964,0.9394449116904964,main,test,True,False,True,True,4,18,5e-06,0.1,7,,2024-07-26 00:27:13
macro avg,0.3597846113922408,0.4448230289513897,0.3759489302967564,1189.0,main,test,True,False,True,True,4,18,5e-06,0.1,7,,2024-07-26 00:27:13
weighted avg,0.9772371168041286,0.9394449116904964,0.9567814815008292,1189.0,main,test,True,False,True,True,4,18,5e-06,0.1,7,,2024-07-26 00:27:13
answer,0.0,0.0,0.0,1.0,main,test,True,False,True,True,4,19,5e-06,0.1,7,,2024-07-26 00:32:39
disagreement,0.0,0.0,0.0,3.0,main,test,True,False,True,True,4,19,5e-06,0.1,7,,2024-07-26 00:32:39
inform,0.9918845807033363,0.9540329575021682,0.9725906277630415,1153.0,main,test,True,False,True,True,4,19,5e-06,0.1,7,,2024-07-26 00:32:39
instruct,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,main,test,True,False,True,True,4,19,5e-06,0.1,7,,2024-07-26 00:32:39
other,0.07142857142857142,0.5,0.125,6.0,main,test,True,False,True,True,4,19,5e-06,0.1,7,,2024-07-26 00:32:39
question,0.8,1.0,0.8888888888888888,20.0,main,test,True,False,True,True,4,19,5e-06,0.1,7,,2024-07-26 00:32:39
suggest,0.5,0.3333333333333333,0.4,3.0,main,test,True,False,True,True,4,19,5e-06,0.1,7,,2024-07-26 00:32:39
accuracy,0.9461732548359967,0.9461732548359967,0.9461732548359967,0.9461732548359967,main,test,True,False,True,True,4,19,5e-06,0.1,7,,2024-07-26 00:32:39
macro avg,0.3852352122093201,0.4458142320241193,0.3885446928550377,1189.0,main,test,True,False,True,True,4,19,5e-06,0.1,7,,2024-07-26 00:32:39
weighted avg,0.9777724919928663,0.9461732548359967,0.9605759222780191,1189.0,main,test,True,False,True,True,4,19,5e-06,0.1,7,,2024-07-26 00:32:39
